epoch,io_u_2,io_u_3,loss,lr,sparse_categorical_accuracy,val_io_u_2,val_io_u_3,val_loss,val_sparse_categorical_accuracy
10,0.7259131669998169,0.270392507314682,0.3446028530597687,1e-04,0.8696508407592773,0.0,0.0,1.8229857683181763,0.6281348466873169
11,0.8113097548484802,0.3986385464668274,0.24870756268501282,1e-04,0.9085932374000549,0.04730087146162987,0.005560132209211588,1.2674078941345215,0.644496738910675
12,0.8377596139907837,0.43841004371643066,0.21906433999538422,1e-04,0.9200426340103149,0.6036576628684998,0.21646013855934143,0.38851529359817505,0.8346695899963379
13,0.8499406576156616,0.46255773305892944,0.20010490715503693,1e-04,0.9256927371025085,0.7824879884719849,0.3014429807662964,0.2883543074131012,0.9007112383842468
14,0.8592526912689209,0.47761332988739014,0.1908661127090454,1e-04,0.9296351075172424,0.7189165949821472,0.1835813671350479,0.3482302129268646,0.8551719188690186
15,0.8648498058319092,0.4905615746974945,0.18250267207622528,1e-04,0.9323167204856873,0.8407672643661499,0.5010156631469727,0.2016393095254898,0.9245322942733765
16,0.8757944107055664,0.5030462741851807,0.1677117496728897,1e-04,0.9366076588630676,0.8262149691581726,0.49933797121047974,0.2069902867078781,0.921229362487793
17,0.8761174082756042,0.5104857087135315,0.1664780080318451,1e-04,0.9371201992034912,0.8557690382003784,0.5005152821540833,0.18241223692893982,0.9300231337547302
18,0.8836609721183777,0.5218620896339417,0.15765929222106934,1e-04,0.9402260780334473,0.5647581219673157,0.1422583907842636,0.5690080523490906,0.8213403224945068
19,0.8880246877670288,0.5282026529312134,0.1517467051744461,1e-04,0.9420294165611267,0.8645412921905518,0.50848388671875,0.17041531205177307,0.9316875338554382
20,0.8893056511878967,0.5333114862442017,0.1503141224384308,1e-04,0.9425944089889526,0.840073823928833,0.5306415557861328,0.2019423097372055,0.9205909371376038
21,0.8924710154533386,0.5415918827056885,0.14493221044540405,1e-04,0.9441077709197998,0.8727796673774719,0.538969099521637,0.16412745416164398,0.9355747103691101
22,0.8985310792922974,0.5482144951820374,0.13791729509830475,1e-04,0.9464007019996643,0.8582464456558228,0.442577600479126,0.19183123111724854,0.9279136657714844
23,0.8978913426399231,0.5516519546508789,0.1373281031847,1e-04,0.9462751150131226,0.846858561038971,0.5308641791343689,0.18495920300483704,0.9270042777061462
24,0.9028592109680176,0.5587396025657654,0.13048642873764038,1e-04,0.9483959078788757,0.8511986136436462,0.4951114356517792,0.19401834905147552,0.9294262528419495
25,0.9104625582695007,0.5735287070274353,0.12202225625514984,1e-05,0.9514809250831604,0.8924386501312256,0.5688750743865967,0.1398923248052597,0.9447472095489502
26,0.9126275777816772,0.5786663889884949,0.11987955123186111,1e-05,0.9524649977684021,0.8936815857887268,0.5693241357803345,0.13740238547325134,0.9448739886283875
27,0.9148181676864624,0.5793602466583252,0.11714614182710648,1e-05,0.9532104134559631,0.8938116431236267,0.5752256512641907,0.13915474712848663,0.9451143741607666
28,0.9145405292510986,0.5804272294044495,0.11702797561883926,1e-05,0.9531803727149963,0.8940648436546326,0.5757753252983093,0.1385403722524643,0.9450041651725769
29,0.9157045483589172,0.5825855135917664,0.1153552234172821,1e-05,0.9537237882614136,0.89505934715271,0.5748980045318604,0.1380443125963211,0.9456940293312073
30,0.9173747897148132,0.5837978720664978,0.113959401845932,1e-06,0.9542561769485474,0.8956125974655151,0.5739217400550842,0.1376086175441742,0.9457733035087585
31,0.9185162782669067,0.5835910439491272,0.11227576434612274,1e-06,0.9546981453895569,0.8954310417175293,0.5746800303459167,0.13796699047088623,0.945756733417511
32,0.9181367754936218,0.584991455078125,0.1122932881116867,1e-06,0.9545714259147644,0.8954026699066162,0.573383629322052,0.1387452632188797,0.9457371234893799
33,0.9175164103507996,0.5857817530632019,0.11333023756742477,1e-07,0.9544674158096313,0.8958978652954102,0.5747624635696411,0.13756583631038666,0.9458603858947754
34,0.9178290367126465,0.5831969380378723,0.11301834136247635,1e-07,0.9543616771697998,0.8954243063926697,0.5744959115982056,0.13825272023677826,0.945792019367218
35,0.9181491732597351,0.5866541862487793,0.1121281161904335,1e-07,0.9546834230422974,0.8956654071807861,0.5740708708763123,0.13795073330402374,0.9457317590713501
36,0.9170058369636536,0.5837010741233826,0.11353228241205215,1e-08,0.9540969729423523,0.8956528902053833,0.5747815370559692,0.1376754343509674,0.9458139538764954
